trial_index,block_index,block_trial,block_mu,block_sigma,trial_mu_deviation,trial_mu,trial_sigma,trial_mean,initial_ori,final_ori,rt
0,-1,-1,-1,-1,0,320,5,-0.692383370086,62,328.7,9.03354580002
1,-1,-1,-1,-1,0,270,5,-1.5647478113,40,266.2,5.5169526001
2,-1,-1,-1,-1,0,80,5,1.39094443247,276,87.4,2.11661550007
3,-1,-1,-1,-1,0,172,5,3.01659874842,21,164.4,3.58447780006
4,-1,-1,-1,-1,0,354,5,-0.0885870558997,123,356.1,5.23428520001
5,-1,-1,-1,-1,0,46,5,0.811058636361,13,68.4,2.51678070007
6,-1,-1,-1,-1,0,249,5,-1.94689174615,352,242.8,4.01858509996
7,-1,-1,-1,-1,0,50,5,0.877243099209,239,51.6,4.80036599992
8,0,0,22,20,20,2,40,0.130119539779,135,358.4,7.00114009995
9,0,1,22,20,0,22,40,0.313102901617,179,15.4,5.48324869992
10,0,2,22,20,-20,42,40,0.777533376543,91,64.4,6.18422459997
11,0,3,22,20,-20,42,10,0.735625723743,199,56.5,3.01716419996
12,0,4,22,20,40,-18,10,-0.308173031905,167,317.3,2.80061379995
13,0,5,22,20,10,12,40,0.287712524768,39,65.8,5.65037380008
14,0,6,22,20,-10,32,10,0.540924923017,217,38.5,3.51769060001
15,0,7,22,20,0,22,10,0.385255044893,335,37.5,1.98390539992
16,0,8,22,20,10,12,10,0.193413306925,99,37.0,3.05019189999
17,0,9,22,20,20,2,10,0.0300653365928,193,4.1,4.30036600004
18,0,10,22,20,0,22,10,0.418028107616,276,51.0,2.53321889997
19,0,11,22,20,20,2,40,0.12046751787,124,323.9,6.66699080006
20,0,12,22,20,0,22,10,0.417184827199,163,34.0,5.38416639995
21,0,13,22,20,-10,32,40,0.516421279411,263,27.6,3.68389420002
22,0,14,22,20,-20,42,10,0.738055200929,194,48.5,4.1502850001
23,0,15,22,20,10,12,40,0.0654412267167,53,1.1,3.51678369998
24,0,16,22,20,0,22,40,0.355229694902,2,57.3,2.68394570006
25,0,17,22,20,-10,32,40,0.610512378817,262,62.4,2.30000699998
26,0,18,22,20,-40,62,40,1.02327712825,251,181.3,6.2838035
27,0,19,22,20,10,12,10,0.209941431293,275,6.5,2.43540940003
28,0,20,22,20,-30,52,10,0.897520524558,299,67.0,1.91679430008
29,0,21,22,20,10,12,10,0.225344618074,235,357.1,2.78393829998
30,0,22,22,20,40,-18,10,-0.278993506509,135,320.7,1.96760059998
31,0,23,22,20,-20,42,40,0.670239349684,155,38.1,3.98427729995
32,0,24,22,20,-10,32,10,0.535975544163,198,43.2,2.76678599999
33,0,25,22,20,-20,42,10,0.73424904306,125,48.6,3.61718350009
34,0,26,22,20,0,22,40,0.475273381169,41,349.7,1.78349249996
35,0,27,22,20,10,12,10,0.211062577248,120,13.4,2.96733020002
